,QuoteNumber,Original_Quote_Date,QuoteConversion_Flag,Field6,Field7,Field8,Field9,Field10,Field11,Field12,CoverageField1A,CoverageField1B,CoverageField2A,CoverageField2B,CoverageField3A,CoverageField3B,CoverageField4A,CoverageField4B,CoverageField5A,CoverageField5B,CoverageField6A,CoverageField6B,CoverageField8,CoverageField9,CoverageField11A,CoverageField11B,SalesField1A,SalesField1B,SalesField2A,SalesField2B,SalesField3,SalesField4,SalesField5,SalesField6,SalesField7,SalesField8,SalesField9,SalesField10,SalesField11,SalesField12,SalesField13,SalesField14,SalesField15,PersonalField1,PersonalField2,PersonalField4A,PersonalField4B,PersonalField5,PersonalField6,PersonalField7,PersonalField8,PersonalField9,PersonalField10A,PersonalField10B,PersonalField11,PersonalField12,PersonalField13,PersonalField14,PersonalField15,PersonalField16,PersonalField17,PersonalField18,PersonalField19,PersonalField22,PersonalField23,PersonalField24,PersonalField25,PersonalField26,PersonalField27,PersonalField28,PersonalField29,PersonalField30,PersonalField31,PersonalField32,PersonalField33,PersonalField34,PersonalField35,PersonalField36,PersonalField37,PersonalField38,PersonalField39,PersonalField40,PersonalField41,PersonalField42,PersonalField43,PersonalField44,PersonalField45,PersonalField46,PersonalField47,PersonalField48,PersonalField49,PersonalField50,PersonalField51,PersonalField52,PersonalField53,PersonalField54,PersonalField55,PersonalField56,PersonalField57,PersonalField58,PersonalField59,PersonalField60,PersonalField61,PersonalField62,PersonalField63,PersonalField64,PersonalField65,PersonalField66,PersonalField67,PersonalField68,PersonalField69,PersonalField70,PersonalField71,PersonalField72,PersonalField73,PersonalField74,PersonalField75,PersonalField76,PersonalField77,PersonalField78,PersonalField79,PersonalField80,PersonalField81,PersonalField82,PersonalField83,PersonalField84,PropertyField1A,PropertyField1B,PropertyField2A,PropertyField2B,PropertyField3,PropertyField4,PropertyField5,PropertyField6,PropertyField7,PropertyField8,PropertyField9,PropertyField10,PropertyField11A,PropertyField11B,PropertyField12,PropertyField13,PropertyField14,PropertyField15,PropertyField16A,PropertyField16B,PropertyField17,PropertyField18,PropertyField19,PropertyField20,PropertyField21A,PropertyField21B,PropertyField22,PropertyField23,PropertyField24A,PropertyField24B,PropertyField25,PropertyField26A,PropertyField26B,PropertyField27,PropertyField28,PropertyField29,PropertyField30,PropertyField31,PropertyField32,PropertyField33,PropertyField34,PropertyField35,PropertyField36,PropertyField37,PropertyField38,PropertyField39A,PropertyField39B,GeographicField1A,GeographicField1B,GeographicField2A,GeographicField2B,GeographicField3A,GeographicField3B,GeographicField4A,GeographicField4B,GeographicField5A,GeographicField5B,GeographicField6A,GeographicField6B,GeographicField7A,GeographicField7B,GeographicField8A,GeographicField8B,GeographicField9A,GeographicField9B,GeographicField10A,GeographicField10B,GeographicField11A,GeographicField11B,GeographicField12A,GeographicField12B,GeographicField13A,GeographicField13B,GeographicField14A,GeographicField14B,GeographicField15A,GeographicField15B,GeographicField16A,GeographicField16B,GeographicField17A,GeographicField17B,GeographicField18A,GeographicField18B,GeographicField19A,GeographicField19B,GeographicField20A,GeographicField20B,GeographicField21A,GeographicField21B,GeographicField22A,GeographicField22B,GeographicField23A,GeographicField23B,GeographicField24A,GeographicField24B,GeographicField25A,GeographicField25B,GeographicField26A,GeographicField26B,GeographicField27A,GeographicField27B,GeographicField28A,GeographicField28B,GeographicField29A,GeographicField29B,GeographicField30A,GeographicField30B,GeographicField31A,GeographicField31B,GeographicField32A,GeographicField32B,GeographicField33A,GeographicField33B,GeographicField34A,GeographicField34B,GeographicField35A,GeographicField35B,GeographicField36A,GeographicField36B,GeographicField37A,GeographicField37B,GeographicField38A,GeographicField38B,GeographicField39A,GeographicField39B,GeographicField40A,GeographicField40B,GeographicField41A,GeographicField41B,GeographicField42A,GeographicField42B,GeographicField43A,GeographicField43B,GeographicField44A,GeographicField44B,GeographicField45A,GeographicField45B,GeographicField46A,GeographicField46B,GeographicField47A,GeographicField47B,GeographicField48A,GeographicField48B,GeographicField49A,GeographicField49B,GeographicField50A,GeographicField50B,GeographicField51A,GeographicField51B,GeographicField52A,GeographicField52B,GeographicField53A,GeographicField53B,GeographicField54A,GeographicField54B,GeographicField55A,GeographicField55B,GeographicField56A,GeographicField56B,GeographicField57A,GeographicField57B,GeographicField58A,GeographicField58B,GeographicField59A,GeographicField59B,GeographicField60A,GeographicField60B,GeographicField61A,GeographicField61B,GeographicField62A,GeographicField62B,GeographicField63,GeographicField64
208518,347478,2013-03-06,1,F,3,0.8945,0.0038,564,1.067,N,5,6,5,6,4,5,4,6,13,22,1,6,Y,E,11,21,1,1,2,4,0,4,3,14,T,55751,0,0,1,1,0,0,0,1,0,7,9,6,1,N,1,2,23,24,0,1,2,5,5,XR,YY,ZA,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,24,25,-1,15,N,N,Y,0,R,0,0,1,-1,21,2,1,A,8,4,8,1,1,0,0,5,6,2,1,4,5,2.0,3,2,4,B,,N,O,Y,H,Y,2,N,N,N,10,11,8,16,14,14,10,11,12,11,-1,15,5,15,8,10,5,14,6,15,-1,25,4,16,8,10,5,16,-1,14,9,8,5,13,2,9,-1,17,22,23,17,19,-1,22,-1,23,-1,17,9,3,5,2,3,2,6,2,3,2,4,3,7,10,21,24,9,15,6,7,18,23,8,13,9,12,8,18,11,17,6,12,12,20,24,22,16,22,11,18,20,21,11,16,22,24,6,8,16,14,10,3,10,5,16,17,15,15,13,7,10,8,7,15,-1,9,12,10,9,9,14,18,-1,4,-1,17,-1,8,N,NJ
27466,45929,2013-08-09,1,F,11,0.9919,0.0038,564,1.1886,N,2,1,2,1,2,1,2,1,13,22,13,23,Y,E,18,24,2,4,6,18,1,3,4,4,T,65685,0,0,0,0,0,0,0,1,1,10,13,6,1,N,1,2,5,7,0,1,2,3,15,XO,YF,XZ,ZQ,3,1,1,1,1,2,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,1,1,1,1,3,2.0,14,18,-1,21,N,N,Y,0,D,0,0,1,-1,21,1,0,B,8,7,14,0,1,0,0,2,1,2,1,1,1,1.0,5,6,10,B,,N,O,Y,H,Y,2,N,N,N,12,14,2,3,17,17,16,18,16,17,-1,15,5,15,8,10,5,14,6,15,-1,25,4,16,8,10,5,16,-1,14,9,8,5,13,2,10,-1,16,24,25,20,22,-1,22,-1,23,-1,16,10,3,8,3,5,3,10,3,2,1,16,22,6,7,6,7,6,10,7,8,10,11,8,14,4,2,5,13,7,10,9,18,10,17,24,22,8,10,10,13,11,11,10,13,10,7,6,5,19,18,14,9,17,15,18,20,18,20,19,16,13,12,4,8,-1,8,21,23,10,10,10,11,-1,18,-1,15,-1,20,N,NJ
247589,412417,2014-01-17,0,B,25,0.9403,0.0007,935,1.02,N,8,13,8,13,7,11,7,12,1,2,13,23,Y,D,8,16,4,13,4,14,1,5,5,7,V,8343,0,0,0,0,0,0,0,1,1,13,18,6,1,N,1,3,-1,-1,0,5,2,4,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,22,24,-1,16,N,N,Y,0,O,1,0,1,-1,21,2,2,A,4,11,21,1,1,0,0,8,13,2,1,6,8,1.0,12,17,1,B,,N,O,Y,H,Y,2,N,Y,N,7,6,13,22,8,6,14,17,16,18,-1,13,2,2,2,3,2,3,1,2,-1,25,2,5,2,4,2,3,-1,7,3,3,2,3,17,24,25,25,2,3,2,4,-1,10,-1,15,-1,2,15,11,19,20,20,22,17,16,10,17,12,18,10,18,2,1,4,5,8,12,10,11,5,7,14,22,13,23,7,10,5,8,2,5,3,4,7,7,9,10,14,16,2,3,10,6,21,24,4,2,3,1,17,15,3,2,3,2,5,2,20,22,15,22,-1,16,1,1,4,2,10,11,-1,22,25,25,-1,8,N,CA
203363,338980,2013-05-04,0,F,15,0.9313,0.0038,564,1.1161,N,8,14,8,14,12,19,8,14,13,22,13,23,Y,E,8,15,2,5,2,4,1,4,3,15,R,24960,1,0,0,0,0,0,0,0,0,3,3,7,0,N,1,3,-1,-1,0,5,2,3,9,XQ,XV,YF,XX,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,2,2,-1,6,N,N,Y,0,R,1,0,1,-1,23,3,1,C,4,8,16,0,2,1,0,8,14,2,1,7,11,2.0,5,5,4,B,,N,O,Y,H,N,2,N,Y,N,8,8,11,20,11,9,7,6,6,3,-1,21,4,10,9,13,5,10,4,10,-1,25,4,12,8,13,5,11,-1,11,9,11,5,10,2,17,-1,22,19,18,15,19,-1,21,-1,21,-1,13,10,4,10,5,5,5,13,6,14,21,22,25,17,24,8,11,8,13,4,4,15,20,4,4,25,25,2,2,24,25,25,25,12,20,25,25,14,19,12,20,23,24,12,20,21,24,7,11,10,8,5,2,12,8,3,2,2,1,1,1,9,7,25,25,-1,21,10,8,14,18,9,9,-1,8,-1,16,-1,11,N,NJ
15535,25790,2014-09-15,0,E,16,0.9194,0.0006,"1,487",1.3045,N,11,18,11,18,9,16,10,17,13,22,13,23,Y,F,6,12,9,20,6,19,1,5,5,11,K,16147,0,0,0,0,0,0,0,1,1,9,12,6,1,N,1,2,23,24,0,1,2,4,11,ZK,YS,XQ,ZQ,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,3,2,-1,9,Y,Y,Y,0,R,1,0,1,-1,21,2,3,C,1,5,11,1,2,1,0,11,18,2,1,11,17,2.0,8,10,4,B,,N,O,N,E,N,0,N,N,N,10,10,2,3,14,13,12,13,16,17,-1,13,11,19,15,19,11,19,20,23,-1,25,11,19,15,19,11,19,-1,20,14,19,9,19,4,19,-1,9,14,15,1,1,-1,23,-1,16,-1,21,1,1,1,1,1,1,1,1,6,9,8,11,11,21,11,18,4,5,8,13,14,18,5,8,13,20,1,1,13,21,5,9,22,25,20,19,25,25,25,25,18,19,6,6,25,25,5,3,18,17,19,18,13,9,19,21,20,22,23,23,12,10,2,1,-1,8,11,9,7,5,8,8,-1,21,-1,15,-1,24,N,IL
150715,250825,2014-09-23,1,B,25,0.9153,0.0007,935,1.02,N,2,2,2,2,2,1,2,2,13,22,1,6,Y,E,17,24,2,3,5,16,1,4,3,20,T,28947,0,0,0,0,0,0,0,0,0,25,25,6,1,N,1,1,4,2,0,4,2,1,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,2.0,16,21,-1,15,N,N,Y,0,R,0,0,1,-1,21,2,2,A,4,2,1,1,1,0,0,2,2,2,1,2,1,1.0,6,6,10,B,,N,O,Y,H,Y,2,N,N,N,11,13,12,22,9,7,3,2,22,24,-1,13,2,2,8,10,2,9,2,7,-1,25,2,2,6,9,2,8,-1,7,11,17,3,9,2,17,-1,12,3,7,5,13,-1,12,-1,15,-1,8,16,14,24,24,21,23,24,24,18,24,11,16,9,17,10,15,3,2,6,6,14,18,4,5,14,22,25,25,9,13,9,18,7,11,19,18,16,21,3,4,10,9,25,25,10,12,6,10,2,1,17,13,16,14,1,1,1,1,7,2,16,16,25,25,25,25,18,21,17,22,1,1,-1,1,-1,14,-1,21,N,CA
9272,15349,2015-01-22,0,J,26,0.887,0.0004,"1,113",1.2665,N,9,16,9,16,8,14,9,15,13,22,13,23,Y,F,7,14,6,17,5,16,1,5,5,11,Q,17888,0,0,0,0,0,0,0,1,1,18,22,7,0,N,1,2,23,24,0,1,2,2,8,XX,YH,ZW,ZI,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,6,9,-1,9,N,N,Y,0,J,1,0,1,-1,21,4,2,C,1,5,9,1,2,0,0,9,16,2,1,9,14,1.0,16,22,6,B,,N,K,N,H,N,0,N,N,N,10,10,4,9,14,13,13,15,12,11,-1,22,14,22,25,25,15,22,15,18,-1,25,15,22,25,25,16,22,-1,21,25,25,13,22,2,2,-1,10,11,13,2,2,-1,4,-1,15,-1,25,13,6,11,7,5,4,15,10,10,17,5,4,4,3,8,12,17,23,5,5,16,21,1,1,5,5,4,8,6,7,2,1,11,19,8,6,14,19,2,2,9,8,13,22,15,17,10,19,19,19,22,22,19,18,22,23,22,24,22,22,11,8,2,2,-1,9,19,23,7,5,11,12,-1,15,-1,10,-1,14,N,TX
121403,202155,2013-12-17,1,F,11,0.9838,0.0038,564,1.1886,N,13,21,13,21,12,19,13,20,13,22,13,23,Y,E,5,10,4,13,3,6,0,5,4,7,Q,45114,0,0,0,0,0,0,0,1,1,4,5,6,1,N,1,2,7,14,0,1,2,2,8,ZG,XV,YF,XX,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,15,20,-1,12,N,N,Y,0,R,1,0,1,25,25,1,2,A,1,9,18,1,3,0,0,13,21,2,1,7,10,1.0,13,19,10,B,,N,O,Y,H,Y,2,N,Y,N,2,1,8,16,19,20,18,20,17,20,-1,18,5,14,10,14,5,15,6,16,-1,25,4,15,9,14,5,15,-1,15,10,14,6,15,2,13,-1,15,24,25,25,25,-1,19,-1,18,-1,11,13,6,10,6,6,6,13,5,6,8,10,14,9,15,22,25,6,9,5,6,6,5,10,17,13,20,4,7,12,19,4,5,10,16,23,21,12,15,11,15,18,19,11,17,19,20,6,11,19,19,15,10,19,19,15,15,15,15,19,16,13,12,6,12,-1,14,8,4,19,23,11,12,-1,12,-1,16,-1,11,N,NJ
74045,123270,2014-06-24,0,B,25,0.9153,0.0007,935,1.02,N,9,15,9,16,8,13,9,15,13,22,13,23,X,D,19,24,2,2,2,1,1,5,5,11,P,4526,0,1,1,1,0,0,0,1,1,20,23,7,0,N,1,2,9,18,0,1,2,2,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,2.0,11,15,-1,22,N,N,Y,0,O,1,0,1,-1,21,4,2,C,1,14,22,1,2,0,0,9,15,2,4,7,10,1.0,13,19,10,B,,N,N,Y,G,Y,2,N,N,N,6,5,9,18,15,15,14,16,13,14,-1,13,2,3,4,5,2,5,2,2,-1,25,2,6,3,6,2,6,-1,7,5,5,2,5,6,20,-1,21,2,3,2,4,-1,4,-1,15,-1,3,13,8,14,11,11,16,14,9,5,6,6,6,6,7,25,25,25,25,19,24,9,9,8,14,6,5,4,8,14,22,4,7,3,7,2,3,3,2,9,8,12,12,2,3,9,4,21,23,15,13,17,14,16,14,12,11,12,11,17,13,18,19,8,16,-1,12,15,16,5,3,15,19,-1,18,-1,14,-1,8,N,CA
7763,12898,2015-01-28,0,C,17,0.9108,0.0006,"1,487",1.3045,Y,8,13,8,13,7,11,13,20,25,25,1,6,Y,A,8,16,3,8,3,8,1,1,2,20,P,63445,0,0,0,0,0,0,0,1,1,15,19,6,1,N,1,2,10,18,0,1,2,2,1,XD,XS,YP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,4,6,-1,16,N,N,Y,0,I,1,0,1,-1,21,1,2,C,4,7,15,1,2,1,0,10,17,2,1,16,22,2.0,11,16,4,B,,N,O,Y,H,N,2,N,N,N,18,22,1,1,14,13,9,9,12,12,-1,13,10,18,12,17,10,18,15,19,-1,25,9,19,13,17,10,19,-1,21,10,12,10,19,2,10,-1,3,21,20,7,18,-1,24,-1,24,-1,12,2,1,1,1,2,1,1,1,5,5,4,3,8,14,7,9,4,4,9,14,14,18,9,16,10,15,8,19,9,14,6,10,10,15,17,16,19,23,10,11,21,22,10,13,25,25,5,3,18,17,18,15,13,9,19,21,19,21,19,16,11,9,4,8,-1,4,13,12,12,14,9,10,-1,9,-1,19,-1,11,N,IL
