,id,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,target
48981,48982,2,14,0,0,0,0,3,3,1,0,1,0,11,1,0,1,7,2,7,7,0,1,1,47,0,1,0,0,0,0,0,10,1,0,0,2,5,6,1,0,8,0,0,0,6,1,0,23,0,3,1,2,0,2,1,0,0,15,0,0,0,1,0,2,2,0,37,1,6,1,0,1,15,3,54,33,0,1,1,0,1,0,2,0,0,2,0,0,0,33,3,0,0,Class_8
26280,26281,0,0,0,0,0,0,0,0,2,0,0,1,0,1,18,3,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,4,0,3,0,1,0,1,0,0,0,2,1,4,0,2,0,0,1,0,0,0,0,0,0,0,4,1,2,2,1,0,0,0,0,Class_4
1921,1922,1,0,1,1,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,6,0,3,1,13,1,0,0,0,4,0,0,3,0,0,0,4,0,1,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,3,5,1,4,0,1,1,0,0,0,9,0,6,0,0,1,0,1,0,0,0,3,1,0,3,0,0,0,Class_1
37231,37232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,3,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,4,0,0,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Class_6
46460,46461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,Class_7
28252,28253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Class_4
54269,54270,0,3,0,0,0,0,1,1,0,0,6,0,0,0,0,1,0,3,1,3,0,2,0,17,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,3,0,0,0,0,0,1,0,0,2,0,22,0,0,2,1,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,1,25,0,0,0,Class_8
31897,31898,0,1,0,3,0,0,0,0,2,0,9,0,0,0,0,3,0,0,0,0,1,0,1,2,0,1,11,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,13,0,2,0,0,1,0,0,1,2,0,0,0,0,Class_6
10501,10502,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,Class_2
19858,19859,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Class_3
36283,36284,0,0,1,0,0,0,1,1,0,6,0,0,0,0,0,3,3,2,0,0,0,4,0,3,1,0,0,0,3,0,0,2,0,0,0,0,1,1,0,2,0,4,0,0,0,0,0,1,0,1,0,1,1,5,2,0,0,0,1,2,0,0,0,4,0,7,11,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,Class_6
679,680,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,8,2,7,0,0,0,1,0,0,3,0,0,1,2,0,0,3,0,0,0,1,1,1,0,0,0,3,0,7,0,1,0,2,0,0,0,4,7,5,1,0,0,0,3,1,0,0,1,2,2,1,7,1,0,1,1,0,0,0,1,1,0,2,4,2,2,0,0,0,0,2,0,1,1,0,0,0,0,Class_1
4804,4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,Class_2
