,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
0,1,c,a,1270.0,9.0,2008.0,0,,,
1,2,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
2,3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
3,4,c,c,620.0,9.0,2009.0,0,,,
4,5,a,a,29910.0,4.0,2015.0,0,,,
5,6,a,a,310.0,12.0,2013.0,0,,,
6,7,a,c,24000.0,4.0,2013.0,0,,,
7,8,a,a,7520.0,10.0,2014.0,0,,,
8,9,a,c,2030.0,8.0,2000.0,0,,,
9,10,a,a,3160.0,9.0,2009.0,0,,,
10,11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
11,12,a,c,1070.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
12,13,d,a,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
13,14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
14,15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
15,16,a,c,3270.0,,,0,,,
16,17,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
17,18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
18,19,a,c,3240.0,,,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
19,20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
20,21,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
21,22,a,a,1040.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
22,23,d,a,4060.0,8.0,2005.0,0,,,
23,24,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
24,25,c,a,430.0,4.0,2003.0,0,,,
25,26,d,a,2300.0,,,0,,,
26,27,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
27,28,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec"
28,29,d,c,2170.0,,,0,,,
29,30,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
30,31,d,c,9800.0,7.0,2012.0,0,,,
31,32,a,a,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
32,33,a,c,1320.0,5.0,2013.0,0,,,
33,34,c,a,2240.0,9.0,2009.0,0,,,
34,35,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
35,36,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
36,37,c,a,4230.0,12.0,2014.0,0,,,
37,38,d,a,1090.0,4.0,2007.0,0,,,
38,39,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
39,40,a,a,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
40,41,d,c,1180.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
41,42,a,c,290.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
42,43,d,a,4880.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
43,44,a,a,540.0,6.0,2011.0,0,,,
44,45,d,a,9710.0,2.0,2014.0,0,,,
45,46,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
46,47,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
47,48,a,a,1060.0,5.0,2012.0,0,,,
48,49,d,c,18010.0,9.0,2007.0,0,,,
49,50,d,a,6260.0,11.0,2009.0,0,,,
50,51,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
51,52,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
52,53,a,c,30360.0,9.0,2013.0,0,,,
53,54,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
54,55,a,a,720.0,11.0,2004.0,0,,,
55,56,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
56,57,d,c,420.0,6.0,2014.0,0,,,
57,58,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
58,59,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
59,60,d,c,5540.0,10.0,2009.0,0,,,
60,61,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
