,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
841809,770,5,2013-06-07,7145,852,1,1,0,0
1000801,317,2,2013-01-15,4056,496,1,0,0,0
539589,715,3,2014-03-05,7751,860,1,1,0,0
401416,568,2,2014-07-08,3853,356,1,0,0,0
223481,482,1,2015-01-12,10032,954,1,1,0,0
822938,854,1,2013-06-24,5093,568,1,0,0,0
386731,899,4,2014-07-24,3837,453,1,0,0,1
152769,15,1,2015-03-16,9465,856,1,1,0,0
121384,965,2,2015-04-14,10172,977,1,1,0,0
879382,433,6,2013-05-04,4164,478,1,0,0,0
923907,358,1,2013-03-25,14604,1440,1,1,0,1
481327,433,6,2014-04-26,3432,453,1,0,0,0
795818,494,4,2013-07-18,7927,1099,1,1,0,1
313082,38,5,2014-10-10,5696,547,1,1,0,1
178698,299,6,2015-02-21,6091,663,1,0,0,0
470261,517,2,2014-05-06,7131,747,1,1,0,0
95161,387,4,2015-05-07,10481,1233,1,1,0,0
620530,261,7,2013-12-22,0,0,0,0,0,0
324903,762,7,2014-09-28,0,0,0,0,0,0
244078,266,2,2014-12-23,5597,661,1,0,0,1
686334,280,4,2013-10-24,5911,583,1,1,0,0
839679,870,7,2013-06-09,0,0,0,0,0,0
931297,1058,2,2013-03-19,8227,738,1,1,0,0
782858,914,2,2013-07-30,13696,1375,1,1,0,1
78811,762,5,2015-05-22,4427,436,1,1,0,0
389987,325,7,2014-07-20,0,0,0,0,0,0
310054,891,2,2014-10-14,5820,865,1,0,0,1
693255,511,5,2013-10-18,4766,743,1,0,0,1
632012,593,4,2013-12-12,13059,1665,1,0,0,0
288058,310,4,2014-11-06,10052,828,1,1,0,0
1010359,955,1,2013-01-07,6102,500,1,1,0,0
53387,983,7,2015-06-14,0,0,0,0,0,0
384368,315,6,2014-07-26,2244,246,1,0,0,0
201351,652,7,2015-02-01,0,0,0,0,0,0
499533,799,4,2014-04-10,9140,897,1,0,0,0
292831,418,6,2014-11-01,0,0,0,0,a,0
879439,490,6,2013-05-04,10020,1181,1,0,0,0
958322,208,5,2013-02-22,3395,433,1,1,0,0
848272,543,6,2013-06-01,1663,182,1,0,0,0
953451,912,3,2013-02-27,4826,681,1,0,0,0
321565,120,3,2014-10-01,7399,638,1,1,0,0
660911,502,6,2013-11-16,9169,1381,1,0,0,0
749794,185,3,2013-08-28,6829,508,1,1,0,0
816144,750,7,2013-06-30,0,0,0,0,0,0
588171,237,1,2014-01-20,4014,508,1,1,0,0
22098,914,7,2015-07-12,0,0,0,0,0,0
393392,1035,4,2014-07-17,5803,673,1,1,0,0
448192,748,1,2014-05-26,4777,443,1,0,0,0
876290,686,2,2013-05-07,5671,855,1,0,0,0
60522,313,7,2015-06-07,0,0,0,0,0,0
664211,457,3,2013-11-13,3422,339,1,0,0,0
